enzyme,snp_count
RlaI,23
YkrI,26
BmeDI,25
AbaSI,23
MspJI,10
FspEI,11
FaiI,9
SgrTI,8
PsuGI,5
SetI,4
AspBHI,3
CviJI,4
CviKI_1,4
AfaI,3
CjuII,3
Csp6I,3
CviAII,3
CviQI,3
FaeI,3
FatI,3
Hin1II,3
Hsp92II,3
MluCI,3
MnlI,3
NlaIII,3
PabI,3
RsaI,3
RsaNI,3
SgeI,3
Sse9I,3
TasI,3
TspEI,3
AciI,2
AoxI,2
AspS9I,2
AsuHPI,2
AsuI,2
BaeI,1
BmgT120I,2
BsaXI,1
BshFI,2
BsnI,2
BspACI,2
BspANI,2
BspNCI,2
Bst4CI,2
BstC8I,2
BsuRI,2
Cac8I,2
Cfr13I,2
CjeFV,2
CjePI,1
CviRI,2
FmuI,2
FtnUV,2
HaeIII,2
HinfI,2
HphI,2
HpyCH4III,2
HpyCH4V,2
LpnPI,2
MseI,2
NgoAVIII,1
PspPI,2
SaqAI,2
Sau96I,2
Sbo46I,2
SimI,2
SsiI,2
SspD5I,2
TaaI,2
Tru1I,2
Tru9I,2
TsoI,2
Tsp4CI,2
TspDTI,2
TstI,1
UnbI,2
Aba6411II,1
AccII,1
Aco12261II,1
AcsI,1
AflIII,1
AgsI,1
Alw26I,1
ApoI,1
AspLEI,1
AvaIII,1
Bce3081I,1
BceAI,1
BcefI,1
BciVI,1
BcoDI,1
BfuI,1
BmiI,1
BpmI,1
BsbI,1
BseMII,1
Bsh1236I,1
BslFI,1
BsmAI,1
BsmFI,1
Bsp1407I,1
BspCNI,1
BspD6I,1
BspFNI,1
BspLI,1
BspLU11I,1
BsrGI,1
BstAUI,1
BstDEI,1
BstFNI,1
BstHHI,1
BstMAI,1
BstMWI,1
BstNSI,1
BstUI,1
BsuI,1
BtgZI,1
CdiI,1
CfoI,1
CjeNII,1
CjeNIII,1
Cla11845III,1
DdeI,1
DraRI,1
Eco57MI,1
EcoT22I,1
Esp3007I,1
FaqI,1
FauI,1
FauNDI,1
FinI,1
FnuDII,1
GlaI,1
GsuI,1
HhaI,1
Hin4II,1
Hin6I,1
HinP1I,1
Hpy178III,1
Hpy188III,1
Hpy99XIV,1
HpyAV,1
HpyF10VI,1
HpyF3I,1
HpyUM032XIII_mut1,1
HpyUM032XIV,1
HspAI,1
Lmo911II,1
Lsp48III,1
Lsp6406VI,1
MaeIII,1
MfeI,1
MlyI,1
Mph1103I,1
MspA1I,1
MunI,1
MvnI,1
MwoI,1
NdeI,1
NlaIV,1
NmuCI,1
NsiI,1
NspBII,1
NspI,1
OspHL35III,1
PaeI,1
PciI,1
PenI,1
PfeI,1
PleI,1
PpsI,1
Ppu10I,1
PscI,1
PspN4I,1
Pst14472I,1
RdeGBI,1
SchI,1
SdeAI,1
SelI,1
SphI,1
SspI,1
Sth132I,1
TatI,1
TfiI,1
TseFI,1
Tsp45I,1
TspGWI,1
TssI,1
Tth111II,1
UbaF11I,1
UbaF14I,1
UbaF9I,1
XapI,1
XceI,1
Zsp2I,1
