number,assay_name,source,fst_96,h0,he,fst,fst_rank
1,Ots_RAD4369,a,yes,0.474,0.482,0.008,91
2,Ots_RAD5426,a,no,0.473,0.485,0.005,156
3,Ots_RAD6618,a,yes,0.454,0.449,0.01,68
4,Ots_RAD1149,a,no,0.064,0.061,0.005,168
5,Ots_RAD1072,a,yes,0.099,0.097,0.01,66
6,Ots_RAD995,a,yes,0.484,0.476,0.009,74
7,Ots_RAD856,a,no,0.361,0.369,0.004,188
8,Ots_RAD679,a,no,0.5,0.494,0.006,143
9,Ots_RAD249,a,no,0.501,0.485,0.005,149
10,Ots_RAD161,a,no,0.286,0.281,0.002,214
11,Ots_RAD962,a,no,0.364,0.341,0.007,120
12,Ots_RAD1282,a,yes,0.341,0.28,0.012,34
13,Ots_RAD1507,a,yes,0.486,0.481,0.017,11
14,Ots_RAD1609,a,yes,0.456,0.452,0.008,93
15,Ots_RAD10515,a,no,0.495,0.492,0.004,189
16,Ots_RAD10400,a,no,0.413,0.4,0.004,182
17,Ots_RAD10252,a,no,0.334,0.335,0.006,132
18,Ots_RAD10099,a,no,0.279,0.278,0.002,224
19,Ots_RAD9970,a,no,0.502,0.495,0,242
20,Ots_RAD9756,a,no,0.442,0.414,0.006,145
21,Ots_RAD9704,a,no,0.341,0.331,0.002,221
22,Ots_RAD9536,a,no,0.493,0.474,0.006,146
23,Ots_RAD9039,a,no,0.071,0.069,0.006,123
24,Ots_RAD8560,a,no,0.176,0.176,0.004,177
25,Ots_RAD8442,a,no,0.455,0.484,0.005,162
26,Ots_RAD8354,a,yes,0.384,0.385,0.012,40
27,Ots_RAD7695,a,yes,0.233,0.24,0.013,30
28,Ots_RAD7165,a,yes,0.462,0.478,0.011,44
29,Ots_RAD7145,a,yes,0.367,0.383,0.012,37
30,Ots_RAD10583,a,yes,0.264,0.26,0.009,75
31,Ots_RAD10807,a,yes,0.375,0.373,0.011,53
32,Ots_RAD11441,a,yes,0.216,0.202,0.014,25
33,Ots_RAD4043,a,yes,0.256,0.257,0.014,22
34,Ots_RAD3123,a,yes,0.251,0.26,0.01,55
35,Ots_RAD26540,a,yes,0.504,0.488,0.017,12
36,Ots_RAD22318,a,no,0.27,0.258,0.006,141
37,Ots_RAD21978,a,no,0.1,0.103,0,245
38,Ots_RAD21143,a,no,0.008,0.008,0.002,222
39,Ots_RAD18973,a,no,0.093,0.092,0.006,130
40,Ots_RAD17873,a,yes,0.238,0.238,0.009,76
41,Ots_RAD17721,a,no,0.152,0.154,0.007,121
42,Ots_RAD16976,a,no,0.292,0.278,0.007,117
43,Ots_RAD15440,a,no,0.305,0.317,0.005,163
44,Ots_RAD14852,a,yes,0.111,0.112,0.01,59
45,Ots_RAD14650,a,yes,0.353,0.357,0.017,13
46,Ots_RAD14528,a,no,0.119,0.118,0.008,98
47,Ots_RAD14482,a,no,0.139,0.136,0.005,152
48,Ots_RAD12182,a,yes,0.276,0.269,0.009,79
49,Ots_RAD11839,a,no,0.501,0.494,0.004,190
50,Ots_RAD11821*,a,no,,,,
51,Ots_RAD11425,a,no,0.329,0.327,0.008,105
52,Ots_RAD6755,a,no,0.347,0.34,0.005,164
53,Ots_RAD6688,a,yes,0.432,0.415,0.011,48
